iso3,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,ew,finance_pre,borrowing_ability,avg_prod_k,tau_tax,reconstruction_share_sigma_h,pov_rate_2.15,rho,max_increased_spending,shareable,income_elasticity_eta,average_aid_cost_pc,dk,dw,dk_tot,dw_tot,axfin,c,dS_reco,dW_long_term,dW_reco,dc,dc_long_term,dc_npv_pre,diversified_share,dk_pub,dk_reco,fa,gamma_SP,help_fee,help_needed,help_received,income_share,k,lambda_h,liquidity,macro_multiplier_Gamma,n,v_ew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
AGO,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2217309385220251,0.311220062314,0.06,0.05,0.8,1.5,0.03167675596274639,2.1933270173489285,1.1624377514558154e-05,78058286.70717978,413.6998202487024,0.01045708067787829,826.8561947478463,0.02472629425209692,5.120219460168145e-06,6.504158054390008e-06,2.1933270173489285,1.731724853558534,3.321420254210782,0.022257010726927547,1.7069985593064365,411.685707932278,0.00015860856361125947,0.07,0.031676755962746383,0.12631869128410755,0.03167675596274639,0.028000000000000004,4811.1465889641995,0.0001239861835055291,0.0,0.21185077277681627,0.02792294050526415,0.07029832582356407,5.276216756907678,187775209.5707695,0.0008933480218919278,0.4157007034400932,0.0003713654011172902
ARG,22461.44094261999,46234830.0,0.92347,0.4869371336118353,0.6375410621136512,0.5,0.3,0.3074152642375409,0.2087420721134342,0.1825961748729695,0.009588466405,0.06,0.05,0.8,1.5,0.1968696719543387,43.95521194926394,1.9734478166017372e-05,2032261752.0881867,912.420243144525,0.006686560237280634,2695.372913114399,0.14653916126782757,1.3152296878833546e-05,6.582181287183828e-06,43.95521194926394,36.07569754286553,89.88387841441349,0.026959603612483018,35.9291583815977,803.9822412115833,0.0011675583035037577,0.060000000000000005,0.19686967195433872,1.3476734357476934,0.1968696719543387,0.023999999999999997,8767.856468674485,0.002178500746460455,0.0,0.2198272192058405,0.023435890113202934,0.051948312323891535,66.43272503728065,3071505748.535414,0.002957634161004618,0.661649991395012,0.001956918617178299
ARM,16057.0064572714,2780469.0,0.63573,0.3740101200533297,0.3133509856523386,0.5,0.4416666666666666,0.469678089191154,0.3695482842639164,0.3181948623366807,0.005235208329,0.06,0.05,0.8,1.5,0.7395117626992158,43.15586391136946,3.491763353201005e-05,119993541.77378152,97.08739758911443,0.003918496967245487,2247.980904017996,0.5118088100096684,1.5837607194932268e-05,1.9080026337077776e-05,43.15586391136946,29.935698545080392,97.219863667995,0.06361527254892675,29.423889735070723,475.14840715832275,0.004101784006172276,0.07,0.7395117626992158,4.476793983353419,0.7395117626992158,0.028000000000000004,4786.216252687682,0.01023807165790363,0.0,0.31583181132334176,0.026096632010916464,0.06585002076942588,71.04633440780565,197542130.38453695,0.004424631365557705,0.6074326602644268,0.00268766560107014
AUS,51090.263327821376,26005540.0,0.86488,0.6790700317264603,0.9301463158373546,0.8333333333333334,0.9166666666666669,0.2309980310138752,0.4446686830942625,0.1416276109330159,0.004970939722,0.06,0.05,0.8,1.5,1.3501152595833936,33.03984456573781,3.7452636614007463e-06,859218999.4480773,97.39760395710357,0.04343258742410412,16042.342684935913,1.1334709665759646,2.881605773892459e-06,8.636578875082872e-07,33.03984456573781,29.493961280870153,52.795398406803415,0.1445709431065188,28.36049031429418,3170.828396097225,0.00047978093299930256,0.0628,1.3501152595833936,2.1689265342928556,1.3501152595833936,0.0628,69447.9628874945,0.0019950455005019957,0.0,0.5166573810620626,0.06257971984648215,0.12801967510182846,43.250348228210946,1124748660.862669,0.0008465477648978729,0.7639208912585559,0.0006466955230537215
AUT,55867.18380720709,9041851.0,0.59256,0.6743220859874698,0.8577375757241545,0.8333333333333334,0.8916666666666666,0.1818653202247265,0.4262241812069232,0.1279879540558607,0.006835775451,0.06,0.05,0.8,1.5,3.4564286103422535,91.36157047809117,8.6536026796715e-06,826077707.3888992,78.24458604279043,0.03367067806663484,5642.585564527916,2.893815388418714,6.864322623230832e-06,1.7892800564406683e-06,91.36157047809118,82.5622053816887,134.22822977851447,0.046208993775580895,79.66838999326995,1226.6814370107124,0.0009626854249826281,0.050499999999999996,3.456428610342254,5.748541558277398,3.456428610342254,0.0202,31026.176719978885,0.0036139303701128466,0.0,0.15053043076321765,0.019784634936093424,0.041367396927768335,114.26997193390449,1033212060.0005462,0.0020453862920357764,0.7995238725615169,0.0016353351690926857
AZE,15094.2841004892,10141756.0,0.5717,0.4236035393738244,0.4612760789957857,0.7407407407407408,0.6203703703703705,0.6127220701287495,0.0220546563487747,0.1655408006944861,0.0,0.06,0.05,0.8,1.5,1.2033166239742559,27.467305645550308,2.5389770916171907e-05,278566711.83459365,257.4968615277119,0.0030511271419055956,2113.199774068488,0.8566299419203915,1.3695936173432629e-05,1.1693834742739277e-05,27.467305645550308,23.776975817986127,58.026132079630884,0.0031288083255858272,22.92034587606573,166.27928001470897,0.003810337994098484,0.07,1.2033166239742559,4.578985720740915,1.2033166239742559,0.028,3448.8716452215394,0.019129052900527035,0.0,0.2862953070582187,0.026314180842538507,0.052232872108336874,47.0844565608689,477519069.8329315,0.0031193567212202474,0.5833624863024951,0.0018197156925554426
BEL,53287.15361438369,11685814.0,0.98153,0.3576976268957179,0.6902337998079515,0.8181818181818182,0.8424242424242425,0.1700950073738132,0.4462501851080438,0.1774153817907675,0.000547254789,0.06,0.05,0.8,1.5,1.667344880802744,50.704849011637066,5.895981703475056e-06,592527434.4480746,68.89934553421266,0.02960536867715259,5541.863975895905,1.1322272466142929,3.7216779321043065e-06,2.1743037713707496e-06,50.704849011637066,42.84125611220857,72.93730442519471,0.0486632070144372,41.709028865594256,1796.924366111377,0.0005214592240692348,0.052000000000000005,1.6673448808027442,5.533227485174956,1.667344880802744,0.020800000000000003,32580.991420381302,0.0011029099677841866,0.0,0.15017401323999374,0.020534309619653284,0.04372054886037532,72.52536297434887,847517902.0007277,0.001361029029607846,0.6991326472860343,0.0009515398285028757
BEN,3435.1716165758994,13352864.0,0.49534,0.6048974177043009,0.3847971666493662,0.5,0.4166666666666667,0.4570694328380306,0.0862783874508708,0.1948877650189076,0.200821865179,0.06,0.05,0.8,1.5,0.041368422842893986,2.4756657031100793,2.290810771252092e-05,33057227.443093266,305.88884678264293,0.005135052473987795,687.0343233151799,0.0331960669527464,1.1682079240044479e-05,1.122602847247644e-05,2.4756657031100797,2.02638481424974,6.040971248149473,0.016997107024265278,1.9931887472969936,152.40820470712316,0.0006078423810498845,0.10000000000000003,0.041368422842893986,0.16413397035111799,0.04136842284289399,0.04,1503.129008319926,0.0012015348539186654,0.0,0.5008551841458562,0.03971067069015405,0.1153802799300318,4.612239751639492,61586610.13903591,0.001342651915666696,0.5367599770220239,0.0007206818114018322
BFA,2158.8585157544,22673762.0,0.31877,0.5860386582748977,0.5325130244580834,0.8333333333333334,0.4666666666666667,0.5136741699207948,0.118263411751462,0.2718637502778491,0.312038230194,0.06,0.05,0.8,1.5,0.008924599245057537,0.4001884333440834,8.699490830639261e-06,9073777.292796612,197.2501846150969,0.007521228644658323,431.77170315087994,0.007077380426214147,3.5863641903175505e-06,5.113126640321712e-06,0.4001884333440834,0.298469085463558,1.0184750555017938,0.018984052718386213,0.2913917050373439,125.05863851828518,0.0001651578348703912,0.09999999999999999,0.008924599245057537,0.032632900525204435,0.008924599245057537,0.04000000000000001,840.5556059348991,0.0002540918059630598,0.0,0.5390197678220985,0.039920399457510254,0.11960548385957757,0.8726299334479188,19785803.42507395,0.0004042089498129912,0.4586003963477009,0.0001853703845915257
BGD,6263.00463511584,171186372.0,0.3971099999999999,0.7430143350200373,0.8203511395181686,0.8333333333333334,0.6083333333333334,0.2770114487863902,0.0444874497808178,0.2185742638913444,0.095763822443,0.06,0.05,0.8,1.5,0.8734010264484207,18.84498215699663,6.029020957307051e-05,3226004125.860987,10320.86224393361,0.0049273452739936035,2567.831900397495,0.761179079079334,3.4567713237501425e-05,2.5722496335569082e-05,18.84498215699663,15.487133133064903,35.091117867368986,0.018548959440911204,14.725954053985571,807.3814515657498,0.0020181418622417973,0.082,0.8734010264484207,1.9323015008465674,0.8734010264484207,0.08200000000000002,9269.768132860125,0.0041535041415412845,0.0,0.7790740338474831,0.0811549057250676,0.18593634151563163,29.88277282102669,5115523464.531765,0.004771315776053866,0.6306303056233309,0.0030089363260782697
